"County","Disease_Condition","Total_Dead"
"Baringo","Anaplasmosis",0
"Baringo","Animal bites",0
"Baringo","Bees Sting",0
"Baringo","Black Quarter",0
"Baringo","Blue  Tongue",5
"Baringo","Blue Tongue ",61
"Baringo","Bluetongue ",2
"Baringo","Calf Scours ",0
"Baringo","Coccidosis",1
"Baringo","Contagious Caprine Pleuropneumonia (CCPP)",94
"Baringo","Damerthophylosis",0
"Baringo","East Coast Fever(ECF)",0
"Baringo","Enterotoxaemia",4
"Baringo","Foot and Mouth Disease (FMD)",2
"Baringo","Goat Pox",89
"Baringo","Heart Water",1
"Baringo","Helminthiasis",3
"Baringo","Johnes Disease",0
"Baringo","Lumpy Skin Disease (LSD)",1
"Baringo","Newcastle Disease (NCD)",30
"Baringo","Non",0
"Baringo","Peste des Petit Ruminants (PPR)",192
"Baringo","Pneumonia",6
"Baringo","Poisoning",0
"Baringo","Rabies",2
"Baringo","Sheep Pox",0
"Baringo","blue tongue",117
"Bomet","Abscess",0
"Bomet","Abscesses",0
"Bomet","Anaplasmosis",0
"Bomet","Animal bites",0
"Bomet","Anthrax",10
"Bomet","Black Quarter",3
"Bomet","Brucellosis",0
"Bomet","Coccidosis",6
"Bomet","East Coast Fever(ECF)",0
"Bomet","Fasciola",0
"Bomet","Fatty Degeneration",0
"Bomet","Fibrosis",0
"Bomet","Foot and Mouth Disease (FMD)",9
"Bomet","Helminthiasis",0
"Bomet","Hydited Cyst",0
"Bomet","Liver Cyrrhosis",0
"Bomet","Liver cyrrhosis",0
"Bomet","Lumpy Skin Disease (LSD)",0
"Bomet","Mange",0
"Bomet","Mastitis",0
"Bomet","Peste des Petit Ruminants (PPR)",3
"Bomet","Pneumonia",1
"Bomet","Poisoning",0
"Bomet","Rabies",2
"Bomet","Streptothricosis",0
"Bomet","Telangiectasis",0
"Bomet","Trypanosomiasis",4
"Bomet","ephemeral fever ",0
"Bungoma"," 0",0
"Bungoma"," Myasis",0
"Bungoma","00",0
"Bungoma","Acute Camel Disease Syndromes (ACDS)",4
"Bungoma","Anaplasmosis",0
"Bungoma","Animal bites",0
"Bungoma","Anthrax",0
"Bungoma","Black Quarter",0
"Bungoma","Brucellosis",0
"Bungoma","Coccidosis",0
"Bungoma","Coeneurosis",1
"Bungoma","Colic",0
"Bungoma","Dystocia",0
"Bungoma","East Coast Fever ",0
"Bungoma","East Coast Fever(ECF)",0
"Bungoma","Ehrlichiosis",0
"Bungoma","Enterotoxaemia",0
"Bungoma","Food Poison ",0
"Bungoma","Foot and Mouth Disease (FMD)",1
"Bungoma","Heart Water",0
"Bungoma","Helminthiasis",0
"Bungoma","Hyenas Bite ",11
"Bungoma","Infectious Bronchitis",0
"Bungoma","Infectious Bursai Disease (Gumboro)",0
"Bungoma","Ketosis",0
"Bungoma","Laminitis",0
"Bungoma","Lumpy Skin Disease (LSD)",1
"Bungoma","Mange",0
"Bungoma","Mastitis ",0
"Bungoma","Newcastle Disease (NCD)",0
"Bungoma","Orf",0
"Bungoma","Orf ",0
"Bungoma","Pneumonia",0
"Bungoma","Post Parturient Condition ",0
"Bungoma","Rabies",1
"Bungoma","Swine dysentery ",0
"Bungoma","Tetanus",0
"Bungoma","Trypanosomiasis",0
"Busia","Abdominal Hernia",0
"Busia","Abscess ",1
"Busia","African Swine Fever (ASF)",9
"Busia","Anaestrus ",0
"Busia","Anaplasmosis",8
"Busia","Animal bites",0
"Busia","Anthrax",2
"Busia","Atrophic rhinitis",0
"Busia","Babesiosis",0
"Busia","Black Quarter",0
"Busia","Bottle Jow",0
"Busia","Bovine Filariasis ",0
"Busia","Bovine Salmonellosis",0
"Busia","Brucellosis",2
"Busia","Calf Scours ",0
"Busia","Canine Distemper (CD)",2
"Busia","Cervical Prolapse In An Incalf Cow",0
"Busia","Clinical Mastitis",0
"Busia","Coccidosis",3
"Busia","Coeneurosis",0
"Busia","Cutaneous Myiasis",0
"Busia","Cutaneous Wounds(Fungal)",1
"Busia","Dermatophilosis",0
"Busia","Dermatophilosis ",0
"Busia","Dermatophytosis ",0
"Busia","Dietary Diarrhea ",0
"Busia","Dislocation ",0
"Busia","Downer Cow Syndrome",0
"Busia","Dystocia",0
"Busia","Dystocia ",0
"Busia","East Coast Fever(ECF)",6
"Busia","Enterotoxaemia",4
"Busia","Food Poisoming",24
"Busia","Foot Rot",0
"Busia","Foot and Mouth Disease (FMD)",0
"Busia","Fowl Pox",23
"Busia","Fowl Typhoid ",6
"Busia","Fowl Typoid",6
"Busia","Heart Water",2
"Busia","Helminthiasis",10
"Busia","Injury ",0
"Busia","Keratoconjutivitis",1
"Busia","Ketosis",0
"Busia","Ketosis/Enterotoxaemia",0
"Busia","Lameness ",0
"Busia","Leptospirosis ",0
"Busia","Lumpy Skin Disease (LSD)",12
"Busia","Mange",0
"Busia","Mastitis",0
"Busia","Mastitis ",0
"Busia","Menges",0
"Busia","Newcastle Disease (NCD)",33
"Busia","Non",2
"Busia","Paraphimosis",0
"Busia","Parvovirus",2
"Busia","Peste des Petit Ruminants (PPR)",0
"Busia","Pink Eye",0
"Busia","Pink Eye Disease ",0
"Busia","Pneumonia",1
"Busia","Poisoning",1
"Busia","Pustular Dermatitis",0
"Busia","Rabies",1
"Busia","Red Urine ",0
"Busia","Rift Valley Fever (RVF)",0
"Busia","Shipping Fever",0
"Busia","Stomach Enteritis",0
"Busia","Suspected Snake Bite",0
"Busia","Swine Erysipelas",0
"Busia","Trauma ",0
"Busia","Traumatic Deep Cut ",0
"Busia","Traumatic Injury ",0
"Busia","Trypanosomiasis",3
"Busia","Warble ",0
"Busia","ephemeral fever ",0
"Elgeyo/Marakwet","Abortion ",0
"Elgeyo/Marakwet","Absess",0
"Elgeyo/Marakwet","Anaplasmosis",0
"Elgeyo/Marakwet","Animal Bite",0
"Elgeyo/Marakwet","Animal bites",1
"Elgeyo/Marakwet","Babesia Bovis",0
"Elgeyo/Marakwet","Babesiosis ",0
"Elgeyo/Marakwet","Bloat",2
"Elgeyo/Marakwet","Blue Tongue ",0
"Elgeyo/Marakwet","Brucellosis",2
"Elgeyo/Marakwet","Cirrhosis",0
"Elgeyo/Marakwet","Coccidosis",0
"Elgeyo/Marakwet","Diarrhoea",0
"Elgeyo/Marakwet","Distocia",0
"Elgeyo/Marakwet","Dystochia",0
"Elgeyo/Marakwet","East Coast Fever(ECF)",2
"Elgeyo/Marakwet","Ephemeral Fever",0
"Elgeyo/Marakwet","Foetal Mumification",0
"Elgeyo/Marakwet","Foot and Mouth Disease (FMD)",0
"Elgeyo/Marakwet","Footrot",0
"Elgeyo/Marakwet","Fowl Pox",5
"Elgeyo/Marakwet","Goat Pox",1
"Elgeyo/Marakwet","Haemorrhagic septicemia",5
"Elgeyo/Marakwet","Heart Water",2
"Elgeyo/Marakwet","Helminthiasis",4
"Elgeyo/Marakwet","Johnes Disease",0
"Elgeyo/Marakwet","Mange Infestation ",0
"Elgeyo/Marakwet","Mastitis",0
"Elgeyo/Marakwet","Mastitis ",0
"Elgeyo/Marakwet","Mineral Salt Defficiency",0
"Elgeyo/Marakwet","No",0
"Elgeyo/Marakwet","Oestrus Ovis ",0
"Elgeyo/Marakwet","Peste des Petit Ruminants (PPR)",5
"Elgeyo/Marakwet","Plant Poison",0
"Elgeyo/Marakwet","Pneumonia",1
"Elgeyo/Marakwet","Poisoning",1
"Elgeyo/Marakwet","Rabies",3
"Elgeyo/Marakwet","Redwater",0
"Elgeyo/Marakwet","Retained",0
"Elgeyo/Marakwet","Retained  After Birth",0
"Elgeyo/Marakwet","Retained Placenta",0
"Elgeyo/Marakwet","Sheep Pox",0
"Elgeyo/Marakwet","TVT",0
"Elgeyo/Marakwet","Tetanus",1
"Embu","Anthrax",1
"Embu","Brucellosis",0
"Embu","Foot and Mouth Disease (FMD)",2
"Embu","Lumpy Skin Disease (LSD)",7
"Embu","Rabies",2
"Garissa"," Anaplasmosis ",0
"Garissa","Anaplasmosis",1
"Garissa","Animal bites",0
"Garissa","Anthrax",23
"Garissa","Arthritis ",0
"Garissa","Babesiosis ",4
"Garissa","Brucellosis",1
"Garissa","Contagious Bovine Pleuropneumonia (CBPP)",0
"Garissa","Contagious Caprine Pleuropneumonia (CCPP)",170
"Garissa","Contagious Ecthyma",3
"Garissa","Contagious Ecthyma ",1
"Garissa","East Coast Fever(ECF)",0
"Garissa","Foot and Mouth Disease (FMD)",0
"Garissa","Goat Pox",2
"Garissa","Helminthiasis",0
"Garissa","Infectious Bursai Disease (Gumboro)",5
"Garissa","Iron Defficiency",1
"Garissa","Lumpy Skin Disease (LSD)",0
"Garissa","Mange",0
"Garissa","Peste des Petit Ruminants (PPR)",67
"Garissa","Pneumonia",5
"Garissa","Sheep Pox",26
"Garissa","Trypanosomiasis",41
"Garissa","Wound ",0
"Homa Bay","Foot and Mouth Disease (FMD)",0
"Isiolo","Abscesses ",0
"Isiolo","Contagious Caprine Pleuropneumonia (CCPP)",2
"Isiolo","Disease Characterized By General Elongation Of Hooves Leading To Lameness",0
"Isiolo","Foot and Mouth Disease (FMD)",0
"Isiolo","Footrot",0
"Isiolo","Goat Pox",0
"Isiolo","Helminthiasis",0
"Isiolo","Menge",0
"Isiolo","Pneumonia",4
"Isiolo","Pneumonia ",0
"Kajiado","Anthrax",5
"Kajiado","Anthrax ",1
"Kajiado","Babesiosis ",0
"Kajiado","Black Quarter",1
"Kajiado","Brucellosis",0
"Kajiado","Contagious Bovine Pleuropneumonia (CBPP)",0
"Kajiado","Contagious Caprine Pleuropneumonia (CCPP)",52
"Kajiado","Ecf",3
"Kajiado","Foot and Mouth Disease (FMD)",0
"Kajiado","Goat Pox",0
"Kajiado","Heart Water",0
"Kajiado","Helminthiasis",0
"Kajiado","Leptospirosis",0
"Kajiado","Lumpy Skin Disease (LSD)",3
"Kajiado","Newcastle Disease (NCD)",2
"Kajiado","Orf",6
"Kajiado","Peste des Petit Ruminants (PPR)",51
"Kajiado","Pneumonia",11
"Kajiado","Rabies",1
"Kajiado","Rift Valley Fever (RVF)",3
"Kajiado","Sheep scab",1
"Kakamega","Abscess ",0
"Kakamega","Anaplasmosis",0
"Kakamega","Animal bites",0
"Kakamega","Anthrax",10
"Kakamega","Bee Stings ",0
"Kakamega","Black Quarter",0
"Kakamega","Brucellosis",0
"Kakamega","Caseous Lymphad ",0
"Kakamega","Cervical Prolapse",0
"Kakamega","Clinical Mastits",0
"Kakamega","Coccidosis",0
"Kakamega","Contagious Caprine Pleuropneumonia (CCPP)",2
"Kakamega","Dermatitis ",0
"Kakamega","Dermatomycosis",0
"Kakamega","Dermatophilosis ",0
"Kakamega","Dermatophylosis",0
"Kakamega","Diarrhoea ",0
"Kakamega","Dytocia",0
"Kakamega","East Coast Fever(ECF)",5
"Kakamega","Enterotoxaemia",0
"Kakamega","Foot And Rot",0
"Kakamega","Foot and Mouth Disease (FMD)",0
"Kakamega","Fowl Typhoid",0
"Kakamega","Goat Pox",15
"Kakamega","H.S",10
"Kakamega","Haemorrhagic septicemia",3
"Kakamega","Heart Water",0
"Kakamega","Helminthiasis",0
"Kakamega","Injury",0
"Kakamega","Johnes Disease",0
"Kakamega","Kennel cough",0
"Kakamega","Lumpy Skin Disease (LSD)",4
"Kakamega","Mange",0
"Kakamega","Mastitis",0
"Kakamega","Mastitis ",0
"Kakamega","Milk Fever",0
"Kakamega","Myocarditis ",0
"Kakamega","Parasite Infestation ",0
"Kakamega","Parvovirus",0
"Kakamega","Pink Eye ",0
"Kakamega","Pink Eye Infection ",0
"Kakamega","Pneumonia",0
"Kakamega","Poisoning",2
"Kakamega","Rabies",2
"Kakamega","Ringworms",0
"Kakamega","Salmonellosis ",0
"Kakamega","Salmonelosis",0
"Kakamega","Trypanosomiasis",4
"Kakamega","Vaginitis",0
"Kakamega","Warts",0
"Kakamega","injury ",0
"Kericho","Anaplasmosis",0
"Kericho","Anthrax",1
"Kericho","Black Quarter",1
"Kericho","Foot And Mouth ",8
"Kericho","Foot and Mouth Disease (FMD)",1
"Kericho","Lumpy Skin Disease (LSD)",0
"Kericho","Rabies",1
"Kiambu","Foot and Mouth Disease (FMD)",0
"Kiambu","Lumpy Skin Disease (LSD)",0
"Kilifi","East Coast Fever(ECF)",0
"Kilifi","Heart Water",0
"Kilifi","Helminthiasis",0
"Kilifi","Lumpy Skin Disease (LSD)",1
"Kilifi","Mange",0
"Kilifi","Newcastle Disease (NCD)",3
"Kilifi","Pneumonia",0
"Kilifi","Trypanosomiasis",0
"Kirinyaga","Anaplasmosis",0
"Kirinyaga","Helminthiasis",0
"Kisii","Anthrax",0
"Kisumu","Anaplasmosis",0
"Kisumu","Animal bites",0
"Kisumu","Anthrax",1
"Kisumu","Black Quarter",0
"Kisumu","East Coast Fever(ECF)",0
"Kisumu","Ehrlichiosis",0
"Kisumu","Helminthiasis",0
"Kisumu","Johnes Disease",0
"Kisumu","Lumpy Skin Disease (LSD)",0
"Kisumu","Metritis ",0
"Kisumu","Nsd",0
"Kisumu","Parvovirus",1
"Kisumu","Pneumonia",0
"Kisumu","Septic Wound",0
"Kisumu","Trypanosomiasis",0
"Kitui","Abscess",0
"Kitui","Anaplasmosis",0
"Kitui","Anaplasmosis ",0
"Kitui","Animal bites",1
"Kitui","Babesiosis ",0
"Kitui","Bovine Ephemeral Fever",0
"Kitui","Coccidosis",5
"Kitui","Contagious Caprine Pleuropneumonia (CCPP)",59
"Kitui","DHLP",0
"Kitui","East Coast Fever(ECF)",0
"Kitui","Ehrlichiosis",0
"Kitui","Enterotoxaemia",5
