"County","Disease_Condition","Total_Human_Affected"
"Baringo","Anaplasmosis",0
"Baringo","Animal bites",0
"Baringo","Bees Sting",0
"Baringo","Black Quarter",0
"Baringo","Blue  Tongue",0
"Baringo","Blue Tongue ",0
"Baringo","Bluetongue ",0
"Baringo","Calf Scours ",0
"Baringo","Coccidosis",0
"Baringo","Contagious Caprine Pleuropneumonia (CCPP)",0
"Baringo","Damerthophylosis",0
"Baringo","East Coast Fever(ECF)",0
"Baringo","Enterotoxaemia",0
"Baringo","Foot and Mouth Disease (FMD)",0
"Baringo","Goat Pox",0
"Baringo","Heart Water",0
"Baringo","Helminthiasis",0
"Baringo","Johnes Disease",0
"Baringo","Lumpy Skin Disease (LSD)",0
"Baringo","Newcastle Disease (NCD)",0
"Baringo","Non",0
"Baringo","Peste des Petit Ruminants (PPR)",0
"Baringo","Pneumonia",0
"Baringo","Poisoning",0
"Baringo","Rabies",0
"Baringo","Sheep Pox",0
"Baringo","blue tongue",0
"Bomet","Abscess",0
"Bomet","Abscesses",0
"Bomet","Anaplasmosis",0
"Bomet","Animal bites",1
"Bomet","Anthrax",39
"Bomet","Black Quarter",0
"Bomet","Brucellosis",0
"Bomet","Coccidosis",0
"Bomet","East Coast Fever(ECF)",0
"Bomet","Fasciola",0
"Bomet","Fatty Degeneration",0
"Bomet","Fibrosis",0
"Bomet","Foot and Mouth Disease (FMD)",0
"Bomet","Helminthiasis",0
"Bomet","Hydited Cyst",0
"Bomet","Liver Cyrrhosis",0
"Bomet","Liver cyrrhosis",0
"Bomet","Lumpy Skin Disease (LSD)",0
"Bomet","Mange",0
"Bomet","Mastitis",0
"Bomet","Peste des Petit Ruminants (PPR)",0
"Bomet","Pneumonia",0
"Bomet","Poisoning",0
"Bomet","Rabies",17
"Bomet","Streptothricosis",0
"Bomet","Telangiectasis",0
"Bomet","Trypanosomiasis",0
"Bomet","ephemeral fever ",0
"Bungoma"," 0",0
"Bungoma"," Myasis",0
"Bungoma","00",0
"Bungoma","Acute Camel Disease Syndromes (ACDS)",0
"Bungoma","Anaplasmosis",0
"Bungoma","Animal bites",0
"Bungoma","Anthrax",0
"Bungoma","Black Quarter",0
"Bungoma","Brucellosis",0
"Bungoma","Coccidosis",0
"Bungoma","Coeneurosis",0
"Bungoma","Colic",0
"Bungoma","Dystocia",0
"Bungoma","East Coast Fever ",0
"Bungoma","East Coast Fever(ECF)",0
"Bungoma","Ehrlichiosis",0
"Bungoma","Enterotoxaemia",0
"Bungoma","Food Poison ",0
"Bungoma","Foot and Mouth Disease (FMD)",0
"Bungoma","Heart Water",0
"Bungoma","Helminthiasis",0
"Bungoma","Hyenas Bite ",0
"Bungoma","Infectious Bronchitis",0
"Bungoma","Infectious Bursai Disease (Gumboro)",0
"Bungoma","Ketosis",0
"Bungoma","Laminitis",0
"Bungoma","Lumpy Skin Disease (LSD)",0
"Bungoma","Mange",0
"Bungoma","Mastitis ",0
"Bungoma","Newcastle Disease (NCD)",0
"Bungoma","Orf",0
"Bungoma","Orf ",0
"Bungoma","Pneumonia",0
"Bungoma","Post Parturient Condition ",0
"Bungoma","Rabies",5
"Bungoma","Swine dysentery ",0
"Bungoma","Tetanus",0
"Bungoma","Trypanosomiasis",0
"Busia","Abdominal Hernia",0
"Busia","Abscess ",0
"Busia","African Swine Fever (ASF)",0
"Busia","Anaestrus ",0
"Busia","Anaplasmosis",0
"Busia","Animal bites",0
"Busia","Anthrax",0
"Busia","Atrophic rhinitis",0
"Busia","Babesiosis",0
"Busia","Black Quarter",0
"Busia","Bottle Jow",0
"Busia","Bovine Filariasis ",0
"Busia","Bovine Salmonellosis",0
"Busia","Brucellosis",0
"Busia","Calf Scours ",0
"Busia","Canine Distemper (CD)",0
"Busia","Cervical Prolapse In An Incalf Cow",0
"Busia","Clinical Mastitis",0
"Busia","Coccidosis",0
"Busia","Coeneurosis",0
"Busia","Cutaneous Myiasis",0
"Busia","Cutaneous Wounds(Fungal)",0
"Busia","Dermatophilosis",0
"Busia","Dermatophilosis ",0
"Busia","Dermatophytosis ",0
"Busia","Dietary Diarrhea ",0
"Busia","Dislocation ",0
"Busia","Downer Cow Syndrome",0
"Busia","Dystocia",0
"Busia","Dystocia ",0
"Busia","East Coast Fever(ECF)",0
"Busia","Enterotoxaemia",0
"Busia","Food Poisoming",0
"Busia","Foot Rot",0
"Busia","Foot and Mouth Disease (FMD)",0
"Busia","Fowl Pox",0
"Busia","Fowl Typhoid ",0
"Busia","Fowl Typoid",0
"Busia","Heart Water",0
"Busia","Helminthiasis",0
"Busia","Injury ",0
